"Equipe","# J","90s","CrtsA","CrtV","2CrdY","Fts","FltsP","Desativado","Crz","Crts","TklW","Pênaltis convertidos","PKcon","OG"
"vs Ath Paranaense","35","38.0","78","4","3","504","512","48","935","602","456","4","8","2"
"vs Atl Goianiense","33","38.0","79","1","0","630","662","73","934","610","450","4","7","0"
"vs Atlético Mineiro","39","38.0","101","4","3","630","598","81","812","634","474","8","11","0"
"vs Avaí","29","38.0","87","3","3","652","550","40","963","576","485","10","6","0"
"vs Bahia","33","38.0","105","6","2","655","586","55","849","534","566","6","8","1"
"vs Botafogo (RJ)","37","38.0","83","2","0","622","551","48","922","580","441","4","3","0"
"vs Chapecoense","38","38.0","89","4","3","512","686","114","741","524","474","0","5","0"
"vs Corinthians","32","38.0","86","3","1","562","454","94","850","582","436","3","5","0"
"vs Coritiba","35","38.0","94","3","0","601","606","78","864","550","495","7","10","1"
"vs Cruzeiro","35","38.0","92","3","3","604","493","53","777","623","442","6","5","1"
"vs Flamengo","33","38.0","95","6","3","602","553","34","586","560","422","7","7","0"
"vs Fluminense","38","38.0","100","3","2","600","597","71","834","535","420","2","11","3"
"vs Grêmio","49","38.0","113","5","3","640","517","28","688","590","499","2","8","0"
"vs Palmeiras","32","38.0","107","5","3","650","588","108","629","595","472","10","7","2"
"vs Ponte Preta","39","38.0","95","2","0","624","555","70","811","545","444","4","11","1"
"vs Santos","41","38.0","94","4","4","557","543","63","975","586","481","7","2","1"
"vs São Paulo","41","38.0","87","2","1","652","491","62","742","587","503","8","6","2"
"vs Sport Recife","35","38.0","85","3","1","636","623","65","604","633","549","4","9","1"
"vs Vasco da Gama","39","38.0","81","6","2","671","548","81","800","504","411","7","1","4"
"vs Vitória","37","38.0","72","5","0","483","637","85","784","544","439","6","9","0"
