"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
1,"Cruzeiro",38,24,8,6,67,38,29,80,"2,11",29.678,"Marcelo Martins Moreno, Ricardo Goulart - 15","Fábio","→ Copa Libertadores via colocação na liga"
2,"São Paulo",38,20,10,8,59,40,19,70,"1,84",28.544,"Luís Fabiano, Alexandre Pato - 9","Rogério Ceni","→ Copa Libertadores via colocação na liga"
3,"Internacional",38,21,6,11,53,41,12,69,"1,82",22.318,"Rafael Moura - 8","Dida","→ Copa Libertadores via colocação na liga"
4,"Corinthians",38,19,12,7,49,31,18,69,"1,82",29.013,"Paolo Guerrero - 12","Cássio","→ Copa Libertadores via colocação na liga"
5,"Atlético Mineiro",38,17,11,10,51,38,13,62,"1,63",14.132,"Diego Tardelli - 10","Victor Leandro Bagy","→ Copa Libertadores via vitória de campeonato 1"
6,"Fluminense",38,17,10,11,61,42,19,61,"1,61",21.272,"Fred - 18","Diego Cavalieri",""
7,"Grêmio",38,17,10,11,36,24,12,61,"1,61",21.028,"Hernán Barcos - 14","Marcelo Grohe",""
8,"Ath Paranaense",38,15,9,14,43,42,1,54,"1,42",9.661,"Cléo - 9","Wéverton",""
9,"Santos",38,15,8,15,42,35,7,53,"1,39",9.243,"Gabriel Barbosa - 8","Aranha",""
10,"Flamengo",38,14,10,14,46,47,-1,52,"1,37",30.519,"Eduardo da Silva - 8","Paulo Victor Vidotti",""
11,"Sport Recife",38,14,10,14,36,46,-10,52,"1,37",18.22,"Patric Cabral Lalau - 7","Magrão",""
12,"Goiás",38,13,8,17,38,40,-2,47,"1,24",6.958,"Erik Lima - 12","Renan Brito Soares",""
13,"Figueirense",38,13,8,17,37,47,-10,47,"1,24",8.378,"Everaldo Stum - 6","Tiago Volpi",""
14,"Coritiba",38,12,11,15,42,45,-3,47,"1,24",11.865,"Diederrick Joel - 8","Vanderlei",""
15,"Chapecoense",38,11,10,17,39,44,-5,43,"1,13",9.994,"Leandro Pereira - 10","Danilo",""
16,"Palmeiras",38,11,7,20,34,59,-25,40,"1,05",19.755,"Henrique Dourado - 13","Fábio Szymonek",""
17,"Vitória",38,10,8,20,37,54,-17,38,"1,00",10.267,"Dinei - 9","Wilson","Rebaixado"
18,"Bahia",38,9,10,19,31,43,-12,37,"0,97",11.917,"Kieza - 6","Marcelo Lomba","Rebaixado"
19,"Botafogo (RJ)",38,9,7,22,31,48,-17,34,"0,89",12.483,"Pablo Zeballos, Emerson Sheik - 6","Jefferson","Rebaixado"
20,"Criciúma",38,7,11,20,28,56,-28,32,"0,84",9.104,"Lucca - 5","Bruno Brigido","Rebaixado"
