"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
1,"Palmeiras",38,23,12,3,66,27,39,81,"2,13",69.3,33.2,36.1,"0,95",30.792,"Rony - 12","Wéverton","→ Copa Libertadores via colocação na liga"
2,"Internacional",38,20,13,5,58,31,27,73,"1,92",55.8,45.1,10.8,"0,28",19.889,"Alexandre Alemão - 8","Daniel","→ Copa Sudamericana via colocação na liga"
3,"Fluminense",38,21,7,10,63,41,22,70,"1,84",50.1,40.3,9.7,"0,26",24.645,"Germán Cano - 26","Fábio","→ Copa Sudamericana via colocação na liga"
4,"Corinthians",38,18,11,9,44,36,8,65,"1,71",40.9,41,-0.2,"0,00",36.598,"Roger Guedes - 10","Cássio","→ Copa Sudamericana via colocação na liga"
5,"Flamengo",38,18,8,12,60,39,21,62,"1,63",65.4,35.8,29.6,"0,78",45.63,"Pedro, Gabriel Barbosa - 11","Santos","→ Copa Libertadores via colocação na liga"
6,"Ath Paranaense",38,16,10,12,48,48,0,58,"1,53",47.1,48.4,-1.3,"-0,04",16.584,"David Terans - 12","Bento","→ Copa Libertadores via colocação na liga"
7,"Atlético Mineiro",38,15,13,10,45,37,8,58,"1,53",54.1,33.7,20.4,"0,54",27.187,"Hulk - 12","Éverson","→ Copa Libertadores via colocação na liga"
8,"Fortaleza",38,15,10,13,46,39,7,55,"1,45",44.5,42.9,1.5,"0,04",27.488,"Moises, Thiago Galhardo - 7","Fernando Miguel","→ Copa Libertadores via colocação na liga"
9,"São Paulo",38,13,15,10,55,42,13,54,"1,42",49.7,44.4,5.3,"0,14",27.157,"Jonathan Calleri - 18","Jandrei","→ Copa Libertadores via colocação na liga"
10,"América (MG)",38,15,8,15,40,40,0,53,"1,39",45.6,49.7,-4.1,"-0,11",2.876,"Henrique Almeida - 6","Matheus Cavichioli","→ Copa Sudamericana via colocação na liga"
11,"Botafogo (RJ)",38,15,8,15,41,43,-2,53,"1,39",40.8,50.4,-9.6,"-0,25",20.286,"Erison - 7","Gatito Fernández","→ Copa Sudamericana via colocação na liga"
12,"Santos",38,12,11,15,44,41,3,47,"1,24",46.2,48,-1.8,"-0,05",9.575,"Marcos Leonardo - 13","João Paulo","→ Copa Sudamericana via colocação na liga"
13,"Goiás",38,11,13,14,40,53,-13,46,"1,21",34.6,61.6,-27,"-0,71",9.207,"Pedro Raul - 19","Tadeu",""
14,"Red Bull Bragantino",38,11,11,16,49,59,-10,44,"1,16",52.7,49.5,3.1,"0,08",4.219,"Luan Cândido - 11","Cleiton Schwengber",""
15,"Coritiba",38,12,6,20,39,60,-21,42,"1,11",42.3,53.6,-11.2,"-0,30",15.495,"Alef Manga - 9","Alex Muralha",""
16,"Cuiabá",38,10,11,17,31,42,-11,41,"1,08",41,47.8,-6.8,"-0,18",10.912,"Deyverson - 6","Walter",""
17,"Ceará",38,7,16,15,34,41,-7,37,"0,97",43.9,48,-4,"-0,11",27.297,"Stiven Mendoza - 10","João Ricardo Riedi","Rebaixado"
18,"Atl Goianiense",38,8,12,18,39,57,-18,36,"0,95",43.1,51.2,-8.2,"-0,21",5.911,"Wellington Rato - 8","Ronaldo","Rebaixado"
19,"Avaí",38,9,8,21,34,60,-26,35,"0,92",44,62.6,-18.6,"-0,49",7.776,"Guilherme Bissoli - 14","Vladimir","Rebaixado"
20,"Juventude",38,3,13,22,29,69,-40,22,"0,58",33.4,57.1,-23.6,"-0,62",3.2,"Óscar Ruiz, Isidro Pitta - 5","César Reis","Rebaixado"
