"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
1,"Ath Paranaense",6,4,1,1,9,3,6,13,"2,17",7.4,6.5,0.9,"0,15","D V E V V",9.928,"Pablo, Agustín Canobbio - 2","Bento",NA
2,"Bahia",6,4,1,1,9,6,3,13,"2,17",8.9,5.3,3.6,"0,60","V E V V V",7.693,"Everaldo Stum - 3","Marcos Felipe",NA
3,"Flamengo",6,3,2,1,7,5,2,11,"1,83",7,5.9,1.1,"0,18","V E D E V",NA,"Nicolás De La Cruz, Pedro - 2","Agustín Rossi",NA
4,"Botafogo (RJ)",6,3,1,2,12,7,5,10,"1,67",8,7,1,"0,17","V V V D E",NA,"Danilo Barbosa - 3","Gatito Fernández, John",NA
5,"São Paulo",6,3,1,2,10,6,4,10,"1,67",8.4,3.6,4.8,"0,81","D V E V V",24.857,"Luciano - 3","Rafael Pires",NA
6,"Cruzeiro",5,3,1,1,8,7,1,10,"2,00",5,5.5,-0.5,"-0,10","V E D V V",10.351,"Rafael Silva, Matheus Pereira - 2","Anderson",NA
7,"Atlético Mineiro",5,2,3,0,9,3,6,9,"1,80",5.8,3.7,2.1,"0,43","E E V V E",19.771,"Eduardo Vargas - 3","Éverson",NA
8,"Red Bull Bragantino",6,2,3,1,7,6,1,9,"1,50",4.2,8.4,-4.2,"-0,70","V V E E D",3.155,"Eduardo Sasha, Vitinho - 2","Cleiton Schwengber",NA
9,"Palmeiras",6,2,2,2,3,3,0,8,"1,33",7,4.8,2.2,"0,37","D E E V D",9.985,"Lázaro, Richard Ríos... - 1","Wéverton",NA
10,"Internacional",4,2,1,1,4,3,1,7,"1,75",6.5,3.3,3.2,"0,80","V V D E",NA,"Wesley - 2","Sergio Rochet",NA
11,"Fortaleza",5,1,4,0,5,4,1,7,"1,40",4.4,4.2,0.1,"0,02","V E E E E",11.342,"Juan Martín Lucero, Tomas Pochettino... - 1","João Ricardo Riedi",NA
12,"Grêmio",4,2,0,2,4,3,1,6,"1,50",3.1,3.5,-0.5,"-0,11","D V V D",6.618,"Franco Cristaldo - 2","Agustín Marchesín",NA
13,"Vasco da Gama",6,2,0,4,6,11,-5,6,"1,00",8,8.9,-0.9,"-0,15","D D D D V",NA,"Pablo Vegetti - 3","Léo Jardim",NA
14,"Criciúma",3,1,2,0,6,2,4,5,"1,67",2.5,3.5,-1,"-0,34","E E V",NA,"Fellipe Mateus - 2","Alisson",NA
15,"Juventude",4,1,2,1,5,7,-2,5,"1,25",3.6,5.8,-2.2,"-0,55","E V D E",3.739,"Jean Carlos Vicente - 2","Gabriel",NA
16,"Corinthians",6,1,2,3,3,5,-2,5,"0,83",7.3,5.5,1.8,"0,30","D D V E D",14.152,"Wesley Ribeiro - 2","Cássio, Carlos Miguel",NA
17,"Fluminense",6,1,2,3,8,12,-4,5,"0,83",6.2,8.4,-2.2,"-0,36","D V D E D",5.882,"Germán Cano, Lima - 2","Fábio",NA
18,"Vitória",5,0,1,4,5,11,-6,1,"0,20",5.2,9,-3.9,"-0,77","D E D D D",9.203,"Willian, Wagner... - 1","Lucas Arcanjo",NA
19,"Atl Goianiense",5,0,1,4,2,8,-6,1,"0,20",4.5,5.9,-1.4,"-0,28","D D D E D",NA,"Luiz Fernando, Derek - 1","Ronaldo",NA
20,"Cuiabá",4,0,0,4,0,10,-10,0,"0,00",2.3,6.5,-4.2,"-1,06","D D D D",NA,NA,"Walter",NA
